location,technology,time_step,availability
BEL,SunPV,339,0
BEL,SunPV,340,0
BEL,SunPV,341,0
BEL,SunPV,342,0
BEL,SunPV,343,0
BEL,SunPV,344,0
BEL,SunPV,345,0.009
BEL,SunPV,346,0.051
BEL,SunPV,347,0.058
BEL,SunPV,348,0.081
BEL,SunPV,349,0.087
BEL,SunPV,350,0.085
BEL,SunPV,351,0.055
BEL,SunPV,352,0.021
BEL,SunPV,353,0
BEL,SunPV,354,0
BEL,SunPV,355,0
BEL,SunPV,356,0
BEL,SunPV,357,0
BEL,SunPV,358,0
BEL,SunPV,359,0
BEL,SunPV,360,0
BEL,SunPV,361,0
BEL,SunPV,362,0
BEL,SunPV,363,0
BEL,SunPV,364,0
BEL,SunPV,365,0
BEL,SunPV,366,0
BEL,SunPV,367,0
BEL,SunPV,368,0
BEL,SunPV,369,0.03
BEL,SunPV,370,0.108
BEL,SunPV,371,0.199
BEL,SunPV,372,0.27
BEL,SunPV,373,0.318
BEL,SunPV,374,0.286
BEL,SunPV,375,0.176
BEL,SunPV,376,0.061
BEL,SunPV,377,0
BEL,SunPV,378,0
BEL,SunPV,379,0
BEL,SunPV,380,0
BEL,SunPV,381,0
BEL,SunPV,382,0
BEL,SunPV,383,0
BEL,SunPV,384,0
BEL,SunPV,385,0
BEL,SunPV,386,0
BEL,SunPV,387,0
BEL,SunPV,388,0
BEL,SunPV,389,0
BEL,SunPV,390,0
BEL,SunPV,391,0
BEL,SunPV,392,0
BEL,SunPV,393,0.041
BEL,SunPV,394,0.18
BEL,SunPV,395,0.247
BEL,SunPV,396,0.339
BEL,SunPV,397,0.359
BEL,SunPV,398,0.341
BEL,SunPV,399,0.279
BEL,SunPV,400,0.125
BEL,SunPV,401,0.001
BEL,SunPV,402,0
BEL,SunPV,403,0
BEL,SunPV,404,0
BEL,SunPV,405,0
BEL,SunPV,406,0
BEL,SunPV,407,0
BEL,SunPV,408,0
BEL,SunPV,409,0
BEL,SunPV,410,0
BEL,SunPV,411,0
BEL,SunPV,412,0
BEL,SunPV,413,0
BEL,SunPV,414,0
BEL,SunPV,415,0
BEL,SunPV,416,0
BEL,SunPV,417,0.03
BEL,SunPV,418,0.105
BEL,SunPV,419,0.182
BEL,SunPV,420,0.308
BEL,SunPV,421,0.357
BEL,SunPV,422,0.304
BEL,SunPV,423,0.21
BEL,SunPV,424,0.092
BEL,SunPV,425,0.001
BEL,SunPV,426,0
BEL,SunPV,427,0
BEL,SunPV,428,0
BEL,SunPV,429,0
BEL,SunPV,430,0
BEL,SunPV,431,0
BEL,SunPV,432,0
BEL,SunPV,433,0
BEL,SunPV,434,0
BEL,SunPV,435,0
BEL,SunPV,436,0
BEL,SunPV,437,0
BEL,SunPV,438,0
BEL,SunPV,439,0
BEL,SunPV,440,0
BEL,SunPV,441,0.031
BEL,SunPV,442,0.128
BEL,SunPV,443,0.14
BEL,SunPV,444,0.159
BEL,SunPV,445,0.174
BEL,SunPV,446,0.143
BEL,SunPV,447,0.105
BEL,SunPV,448,0.045
BEL,SunPV,449,0.001
BEL,SunPV,450,0
BEL,SunPV,451,0
BEL,SunPV,452,0
BEL,SunPV,453,0
BEL,SunPV,454,0
BEL,SunPV,455,0
BEL,SunPV,456,0
BEL,SunPV,457,0
BEL,SunPV,458,0
BEL,SunPV,459,0
BEL,SunPV,460,0
BEL,SunPV,461,0
BEL,SunPV,462,0
BEL,SunPV,463,0
BEL,SunPV,464,0
BEL,SunPV,465,0.024
BEL,SunPV,466,0.107
BEL,SunPV,467,0.171
BEL,SunPV,468,0.26
BEL,SunPV,469,0.286
BEL,SunPV,470,0.254
BEL,SunPV,471,0.188
BEL,SunPV,472,0.098
BEL,SunPV,473,0.003
BEL,SunPV,474,0
BEL,SunPV,475,0
BEL,SunPV,476,0
BEL,SunPV,477,0
BEL,SunPV,478,0
BEL,SunPV,479,0
BEL,SunPV,480,0
BEL,SunPV,481,0
BEL,SunPV,482,0
BEL,SunPV,483,0
BEL,SunPV,484,0
BEL,SunPV,485,0
BEL,SunPV,486,0
BEL,SunPV,487,0
BEL,SunPV,488,0
BEL,SunPV,489,0.024
BEL,SunPV,490,0.132
BEL,SunPV,491,0.209
BEL,SunPV,492,0.311
BEL,SunPV,493,0.367
BEL,SunPV,494,0.299
BEL,SunPV,495,0.207
BEL,SunPV,496,0.105
BEL,SunPV,497,0.008
BEL,SunPV,498,0
BEL,SunPV,499,0
BEL,SunPV,500,0
BEL,SunPV,501,0
BEL,SunPV,502,0
BEL,SunPV,503,0
BEL,SunPV,504,0
BEL,SunPV,505,0
BEL,SunPV,506,0
BEL,SunPV,507,0
BEL,SunPV,508,0
BEL,SunPV,509,0
BEL,SunPV,510,0
BEL,SunPV,511,0
BEL,SunPV,512,0
BEL,SunPV,513,0.046
BEL,SunPV,514,0.097
BEL,SunPV,515,0.08
BEL,SunPV,516,0.088
BEL,SunPV,517,0.076
BEL,SunPV,518,0.06
BEL,SunPV,519,0.038
BEL,SunPV,520,0.018
BEL,SunPV,521,0
BEL,SunPV,522,0
BEL,SunPV,523,0
BEL,SunPV,524,0
BEL,SunPV,525,0
BEL,SunPV,526,0
BEL,SunPV,527,0
BEL,SunPV,528,0
BEL,SunPV,529,0
BEL,SunPV,530,0
BEL,SunPV,531,0
BEL,SunPV,532,0
BEL,SunPV,533,0
BEL,SunPV,534,0
BEL,SunPV,535,0
BEL,SunPV,536,0
BEL,SunPV,537,0.043
BEL,SunPV,538,0.122
BEL,SunPV,539,0.152
BEL,SunPV,540,0.162
BEL,SunPV,541,0.179
BEL,SunPV,542,0.189
BEL,SunPV,543,0.137
BEL,SunPV,544,0.062
BEL,SunPV,545,0.002
BEL,SunPV,546,0
BEL,SunPV,547,0
BEL,SunPV,548,0
BEL,SunPV,549,0
BEL,SunPV,550,0
BEL,SunPV,551,0
BEL,SunPV,552,0
BEL,SunPV,553,0
BEL,SunPV,554,0
BEL,SunPV,555,0
BEL,SunPV,556,0
BEL,SunPV,557,0
BEL,SunPV,558,0
BEL,SunPV,559,0
BEL,SunPV,560,0
BEL,SunPV,561,0.022
BEL,SunPV,562,0.083
BEL,SunPV,563,0.115
BEL,SunPV,564,0.17
BEL,SunPV,565,0.159
BEL,SunPV,566,0.109
BEL,SunPV,567,0.076
BEL,SunPV,568,0.07
BEL,SunPV,569,0.008
BEL,SunPV,570,0
BEL,SunPV,571,0
BEL,SunPV,572,0
BEL,SunPV,573,0
BEL,SunPV,574,0
BEL,SunPV,575,0
BEL,SunPV,576,0
BEL,SunPV,577,0
BEL,SunPV,578,0
BEL,SunPV,579,0
BEL,SunPV,580,0
BEL,SunPV,581,0
BEL,SunPV,582,0
BEL,SunPV,583,0
BEL,SunPV,584,0
BEL,SunPV,585,0.031
BEL,SunPV,586,0.081
BEL,SunPV,587,0.092
BEL,SunPV,588,0.105
BEL,SunPV,589,0.122
BEL,SunPV,590,0.102
BEL,SunPV,591,0.066
BEL,SunPV,592,0.042
BEL,SunPV,593,0.002
BEL,SunPV,594,0
BEL,SunPV,595,0
BEL,SunPV,596,0
BEL,SunPV,597,0
BEL,SunPV,598,0
BEL,SunPV,599,0
BEL,SunPV,600,0
BEL,SunPV,601,0
BEL,SunPV,602,0
BEL,SunPV,603,0
BEL,SunPV,604,0
BEL,SunPV,605,0
BEL,SunPV,606,0
BEL,SunPV,607,0
BEL,SunPV,608,0
