from,to,time_step,flow
l2,l0,40,4000.0
l2,l0,41,4000.0
l2,l0,42,4000.0
l2,l0,43,2000.0
l2,l0,44,4000.0
l2,l0,45,4000.0
l2,l0,46,2500.0
l2,l0,47,4000.0
l2,l0,48,4000.0
l2,l0,49,4000.0
l2,l0,50,4000.0
l2,l0,51,4000.0
l2,l0,52,4000.0
l2,l0,53,4000.0
l2,l0,54,4000.0
l2,l0,55,4000.0
l2,l0,56,4000.0
l2,l0,57,4000.0
l2,l0,58,4000.0
l2,l0,59,4000.0
l2,l0,60,3500.0
l2,l0,61,4000.0
l2,l0,62,4000.0
l2,l0,63,4000.0
l2,l0,64,4000.0
l2,l0,65,4000.0
l2,l0,66,4000.0
l2,l0,67,4000.0
l2,l0,68,4000.0
l2,l0,69,4000.0
l2,l0,70,1250.0
l2,l0,71,3375.0
l2,l0,72,1250.0
l2,l0,73,4000.0
l2,l0,74,4000.0
l2,l0,75,4000.0
l2,l0,76,4000.0
l2,l0,77,4000.0
l2,l0,78,4000.0
l2,l0,79,4000.0
l2,l0,80,4000.0
l2,l0,81,4000.0
l2,l0,82,4000.0
l2,l0,83,2000.0
l2,l0,84,4000.0
l2,l0,86,4000.0
l2,l0,88,4000.0
l2,l0,89,4000.0
l2,l0,90,4000.0
l2,l0,91,4000.0
l2,l0,92,1000.0
l2,l0,93,4000.0
l2,l0,94,4000.0
l2,l0,95,4000.0
l2,l0,96,4000.0
l2,l0,97,4000.0
l2,l0,98,4000.0
l2,l0,99,2812.5
l2,l1,0,1000.0
l2,l1,1,3750.0
l2,l1,2,1000.0
l2,l1,3,1000.0
l2,l1,4,1000.0
l2,l1,6,1000.0
l2,l1,7,1000.0
l2,l1,9,4000.0
l2,l1,10,1000.0
l2,l1,11,4000.0
l2,l1,13,4000.0
l2,l1,14,4000.0
l2,l1,15,1000.0
l2,l1,16,4000.0
l2,l1,17,1000.0
l2,l1,18,4000.0
l2,l1,21,3437.5
l2,l1,22,4000.0
l2,l1,24,1500.0
l2,l1,25,4000.0
l2,l1,26,250.0
l2,l1,27,4000.0
l2,l1,28,4000.0
l2,l1,29,4000.0
l2,l1,30,4000.0
l2,l1,31,1500.0
l2,l1,32,3187.5
l2,l1,33,4000.0
l2,l1,34,4000.0
l2,l1,35,4000.0
l2,l1,36,1000.0
l2,l1,37,4000.0
l2,l1,39,4000.0
l2,l1,40,3000.0
l2,l1,41,4000.0
l2,l1,42,4000.0
l2,l1,43,4000.0
l2,l1,44,1812.5
l2,l1,45,4000.0
l2,l1,46,4000.0
l2,l1,47,1000.0
l2,l1,48,1000.0
l2,l1,49,1000.0
l2,l1,50,1000.0
l2,l1,52,1000.0
l2,l1,53,1000.0
l2,l1,54,937.5
l2,l1,55,1000.0
l2,l1,56,937.5
l2,l1,57,4000.0
l2,l1,58,4000.0
l2,l1,59,2500.0
l2,l1,60,4000.0
l2,l1,61,937.5
l2,l1,62,4000.0
l2,l1,63,2500.0
l2,l1,64,1000.0
l2,l1,65,1000.0
l2,l1,66,1000.0
l2,l1,67,4000.0
l2,l1,68,4000.0
l2,l1,69,4000.0
l2,l1,70,4000.0
l2,l1,72,4000.0
l2,l1,73,1812.5
l2,l1,74,1000.0
l2,l1,77,1812.5
l2,l1,79,4000.0
l2,l1,80,1000.0
l2,l1,81,1000.0
l2,l1,82,1000.0
l2,l1,83,4000.0
l2,l1,84,3875.0
l2,l1,85,4000.0
l2,l1,86,1500.0
l2,l1,87,4000.0
l2,l1,88,4000.0
l2,l1,89,4000.0
l2,l1,90,4000.0
l2,l1,91,4000.0
l2,l1,92,4000.0
l2,l1,94,1812.5
l2,l1,96,1000.0
l2,l1,97,1000.0
l2,l1,99,4000.0
l3,l0,0,4000.0
l3,l0,1,4000.0
l3,l0,2,4000.0
l3,l0,3,4000.0
l3,l0,4,4000.0
l3,l0,5,4000.0
l3,l0,6,4000.0
l3,l0,7,4000.0
l3,l0,8,4000.0
l3,l0,9,4000.0
l3,l0,10,4000.0
l3,l0,11,4000.0
l3,l0,12,4000.0
l3,l0,13,4000.0
l3,l0,14,4000.0
l3,l0,15,4000.0
l3,l0,16,4000.0
l3,l0,17,4000.0
l3,l0,18,4000.0
l3,l0,19,4000.0
l3,l0,20,4000.0
l3,l0,21,4000.0
l3,l0,22,4000.0
l3,l0,23,4000.0
l3,l0,24,4000.0
l3,l0,25,4000.0
l3,l0,26,4000.0
l3,l0,27,4000.0
l3,l0,28,4000.0
l3,l0,29,4000.0
l3,l0,30,4000.0
l3,l0,31,4000.0
l3,l0,32,4000.0
l3,l0,33,4000.0
l3,l0,34,4000.0
l3,l0,35,4000.0
l3,l0,36,4000.0
l3,l0,37,4000.0
l3,l0,38,4000.0
l3,l0,39,4000.0
l3,l0,40,4000.0
l3,l0,41,4000.0
l3,l0,42,4000.0
l3,l0,43,4000.0
l3,l0,44,4000.0
l3,l0,45,4000.0
l3,l0,46,4000.0
l3,l0,47,4000.0
l3,l0,48,4000.0
l3,l0,49,4000.0
l3,l0,50,4000.0
l3,l0,51,4000.0
l3,l0,52,4000.0
l3,l0,53,4000.0
l3,l0,54,4000.0
l3,l0,55,4000.0
l3,l0,56,4000.0
l3,l0,57,4000.0
l3,l0,58,4000.0
l3,l0,59,4000.0
l3,l0,60,4000.0
l3,l0,61,4000.0
l3,l0,62,4000.0
l3,l0,63,4000.0
l3,l0,64,4000.0
l3,l0,65,4000.0
l3,l0,66,4000.0
l3,l0,67,4000.0
l3,l0,68,4000.0
l3,l0,69,4000.0
l3,l0,70,4000.0
l3,l0,71,4000.0
l3,l0,72,4000.0
l3,l0,73,4000.0
l3,l0,74,4000.0
l3,l0,75,4000.0
l3,l0,76,4000.0
l3,l0,77,4000.0
l3,l0,78,4000.0
l3,l0,79,4000.0
l3,l0,80,4000.0
l3,l0,81,4000.0
l3,l0,82,4000.0
l3,l0,83,4000.0
l3,l0,84,4000.0
l3,l0,85,4000.0
l3,l0,86,4000.0
l3,l0,87,4000.0
l3,l0,88,4000.0
l3,l0,89,4000.0
l3,l0,90,4000.0
l3,l0,91,4000.0
l3,l0,92,4000.0
l3,l0,93,4000.0
l3,l0,94,4000.0
l3,l0,95,4000.0
l3,l0,96,4000.0
l3,l0,97,4000.0
l3,l0,98,4000.0
l3,l0,99,4000.0
l3,l1,0,4000.0
l3,l1,2,4000.0
l3,l1,3,4000.0
l3,l1,4,4000.0
l3,l1,5,4000.0
l3,l1,6,4000.0
l3,l1,7,4000.0
l3,l1,8,4000.0
l3,l1,9,4000.0
l3,l1,10,4000.0
l3,l1,11,3000.0
l3,l1,12,4000.0
l3,l1,13,3000.0
l3,l1,14,4000.0
l3,l1,15,4000.0
l3,l1,16,4000.0
l3,l1,17,4000.0
l3,l1,18,2687.5
l3,l1,19,4000.0
l3,l1,20,4000.0
l3,l1,21,4000.0
l3,l1,22,4000.0
l3,l1,23,4000.0
l3,l1,24,4000.0
l3,l1,25,875.0
l3,l1,26,4000.0
l3,l1,27,4000.0
l3,l1,28,4000.0
l3,l1,29,4000.0
l3,l1,30,4000.0
l3,l1,31,4000.0
l3,l1,32,3812.5
l3,l1,33,4000.0
l3,l1,34,3000.0
l3,l1,35,4000.0
l3,l1,36,4000.0
l3,l1,37,4000.0
l3,l1,38,4000.0
l3,l1,39,3000.0
l3,l1,40,4000.0
l3,l1,41,3312.5
l3,l1,42,4000.0
l3,l1,43,4000.0
l3,l1,44,4000.0
l3,l1,45,4000.0
l3,l1,46,4000.0
l3,l1,47,4000.0
l3,l1,48,4000.0
l3,l1,49,4000.0
l3,l1,50,4000.0
l3,l1,51,4000.0
l3,l1,52,4000.0
l3,l1,53,4000.0
l3,l1,54,4000.0
l3,l1,55,4000.0
l3,l1,56,4000.0
l3,l1,57,4000.0
l3,l1,58,4000.0
l3,l1,59,4000.0
l3,l1,60,4000.0
l3,l1,61,4000.0
l3,l1,62,4000.0
l3,l1,63,4000.0
l3,l1,64,4000.0
l3,l1,65,4000.0
l3,l1,66,4000.0
l3,l1,67,312.5
l3,l1,68,4000.0
l3,l1,69,562.5
l3,l1,70,4000.0
l3,l1,71,4000.0
l3,l1,72,4000.0
l3,l1,73,4000.0
l3,l1,74,4000.0
l3,l1,75,4000.0
l3,l1,76,4000.0
l3,l1,77,4000.0
l3,l1,78,4000.0
l3,l1,79,4000.0
l3,l1,80,4000.0
l3,l1,81,4000.0
l3,l1,82,4000.0
l3,l1,83,4000.0
l3,l1,84,4000.0
l3,l1,85,4000.0
l3,l1,86,4000.0
l3,l1,87,4000.0
l3,l1,88,4000.0
l3,l1,89,4000.0
l3,l1,90,4000.0
l3,l1,91,4000.0
l3,l1,92,3000.0
l3,l1,93,4000.0
l3,l1,94,4000.0
l3,l1,95,4000.0
l3,l1,96,4000.0
l3,l1,97,4000.0
l3,l1,98,4000.0
l3,l1,99,4000.0
l3,l2,0,4000.0
l3,l2,1,4000.0
l3,l2,2,4000.0
l3,l2,3,4000.0
l3,l2,4,4000.0
l3,l2,5,4000.0
l3,l2,6,4000.0
l3,l2,7,4000.0
l3,l2,8,4000.0
l3,l2,9,4000.0
l3,l2,10,4000.0
l3,l2,11,4000.0
l3,l2,12,3000.0
l3,l2,13,4000.0
l3,l2,14,4000.0
l3,l2,15,4000.0
l3,l2,16,4000.0
l3,l2,17,4000.0
l3,l2,18,4000.0
l3,l2,19,4000.0
l3,l2,20,4000.0
l3,l2,21,4000.0
l3,l2,22,4000.0
l3,l2,23,3000.0
l3,l2,24,4000.0
l3,l2,25,4000.0
l3,l2,26,4000.0
l3,l2,27,4000.0
l3,l2,28,4000.0
l3,l2,29,4000.0
l3,l2,30,4000.0
l3,l2,31,4000.0
l3,l2,32,4000.0
l3,l2,33,4000.0
l3,l2,34,4000.0
l3,l2,35,1562.5
l3,l2,36,4000.0
l3,l2,37,4000.0
l3,l2,38,3000.0
l3,l2,39,4000.0
l3,l2,40,4000.0
l3,l2,41,4000.0
l3,l2,42,4000.0
l3,l2,43,4000.0
l3,l2,44,4000.0
l3,l2,45,4000.0
l3,l2,46,4000.0
l3,l2,47,4000.0
l3,l2,48,4000.0
l3,l2,49,4000.0
l3,l2,50,4000.0
l3,l2,51,4000.0
l3,l2,52,4000.0
l3,l2,53,4000.0
l3,l2,54,4000.0
l3,l2,55,4000.0
l3,l2,56,4000.0
l3,l2,57,4000.0
l3,l2,58,4000.0
l3,l2,59,4000.0
l3,l2,60,4000.0
l3,l2,61,4000.0
l3,l2,62,4000.0
l3,l2,63,4000.0
l3,l2,64,4000.0
l3,l2,65,4000.0
l3,l2,66,4000.0
l3,l2,67,4000.0
l3,l2,68,4000.0
l3,l2,69,4000.0
l3,l2,70,4000.0
l3,l2,71,2375.0
l3,l2,72,4000.0
l3,l2,73,4000.0
l3,l2,74,4000.0
l3,l2,75,4000.0
l3,l2,76,4000.0
l3,l2,77,4000.0
l3,l2,78,4000.0
l3,l2,79,4000.0
l3,l2,80,4000.0
l3,l2,81,4000.0
l3,l2,82,4000.0
l3,l2,83,4000.0
l3,l2,84,4000.0
l3,l2,85,4000.0
l3,l2,86,4000.0
l3,l2,87,4000.0
l3,l2,88,4000.0
l3,l2,89,4000.0
l3,l2,90,4000.0
l3,l2,91,4000.0
l3,l2,92,4000.0
l3,l2,93,3000.0
l3,l2,94,4000.0
l3,l2,95,4000.0
l3,l2,96,4000.0
l3,l2,97,4000.0
l3,l2,98,4000.0
l3,l2,99,4000.0
l4,l0,0,250.0
l4,l0,1,3000.0
l4,l0,9,3000.0
l4,l0,10,3000.0
l4,l0,12,3000.0
l4,l0,13,1500.0
l4,l0,15,250.0
l4,l0,16,3000.0
l4,l0,18,3000.0
l4,l0,19,1500.0
l4,l0,22,3000.0
l4,l0,23,3000.0
l4,l0,28,1500.0
l4,l0,29,812.5
l4,l0,32,3000.0
l4,l0,34,3000.0
l4,l0,35,3000.0
l4,l0,36,3000.0
l4,l0,37,1500.0
l4,l0,38,3000.0
l4,l0,39,3000.0
l4,l0,43,3000.0
l4,l0,47,1500.0
l4,l0,48,3000.0
l4,l0,49,3000.0
l4,l0,50,1500.0
l4,l0,52,687.5
l4,l0,53,562.5
l4,l0,55,812.5
l4,l0,59,3000.0
l4,l0,60,1500.0
l4,l0,71,3000.0
l4,l0,75,3000.0
l4,l0,78,1500.0
l4,l0,80,3000.0
l4,l0,83,250.0
l4,l0,85,3000.0
l4,l0,87,1500.0
l4,l0,92,3000.0
l4,l0,93,3000.0
l4,l0,95,2062.5
l4,l0,97,2062.5
l4,l5,5,2000.0
l4,l5,8,4000.0
l4,l5,11,500.0
l4,l5,14,2000.0
l4,l5,15,4000.0
l4,l5,19,4000.0
l4,l5,20,4000.0
l4,l5,21,4000.0
l4,l5,33,4000.0
l4,l5,37,4000.0
l4,l5,41,4000.0
l4,l5,44,4000.0
l4,l5,45,2000.0
l4,l5,47,500.0
l4,l5,51,3250.0
l4,l5,54,2000.0
l4,l5,55,4000.0
l4,l5,57,3500.0
l4,l5,63,4000.0
l4,l5,64,4000.0
l4,l5,65,4000.0
l4,l5,68,4000.0
l4,l5,70,2000.0
l4,l5,72,2000.0
l4,l5,74,4000.0
l4,l5,77,4000.0
l4,l5,81,4000.0
