location,technology,time_step,production
l11,Gas,23,9000.0
l11,Gas,24,9000.0
l11,Gas,25,9000.0
l11,Gas,26,9000.0
l11,Gas,27,9000.0
l11,Gas,28,9000.0
l11,Gas,29,9000.0
l11,Gas,30,9000.0
l11,Gas,31,9000.0
l11,Gas,32,9000.0
l11,Gas,33,9000.0
l11,Gas,34,9000.0
l11,Gas,35,9000.0
l11,Gas,36,9000.0
l11,Gas,37,9000.0
l11,Gas,38,9000.0
l11,Gas,39,9000.0
l11,Gas,40,9000.0
l11,Gas,41,9000.0
l11,Gas,42,9000.0
l11,Gas,43,9000.0
l11,Gas,44,9000.0
l11,Gas,45,9000.0
l11,Gas,46,9000.0
l11,Gas,47,9000.0
l11,Gas,48,9000.0
l11,Gas,49,9000.0
l11,Gas,50,9000.0
l11,Gas,51,9000.0
l11,Gas,52,9000.0
l11,Gas,53,9000.0
l11,Gas,54,9000.0
l11,Gas,55,9000.0
l11,Gas,56,9000.0
l11,Gas,57,9000.0
l11,Gas,58,9000.0
l11,Gas,59,9000.0
l11,Gas,60,9000.0
l11,Gas,61,9000.0
l11,Gas,62,9000.0
l11,Gas,63,9000.0
l11,Gas,64,9000.0
l11,Gas,65,9000.0
l11,Gas,66,9000.0
l11,Gas,67,9000.0
l11,Gas,68,9000.0
l11,Gas,69,9000.0
l11,Gas,70,9000.0
l11,Gas,71,9000.0
l11,Gas,72,9000.0
l11,Gas,73,9000.0
l11,Gas,74,9000.0
l11,Gas,75,9000.0
l11,Gas,76,9000.0
l11,Gas,77,9000.0
l11,Gas,78,9000.0
l11,Gas,79,9000.0
l11,Gas,80,9000.0
l11,Gas,81,9000.0
l11,Gas,82,9000.0
l11,Gas,83,9000.0
l11,Gas,84,9000.0
l11,Gas,85,9000.0
l11,Gas,86,9000.0
l11,Gas,87,9000.0
l11,Gas,88,9000.0
l11,Gas,89,9000.0
l11,Gas,90,9000.0
l11,Gas,91,9000.0
l11,Gas,92,9000.0
l11,Gas,93,9000.0
l11,Gas,94,9000.0
l11,Gas,95,9000.0
l11,Gas,96,9000.0
l11,Gas,97,9000.0
l11,Gas,98,9000.0
l11,Gas,99,9000.0
l13,Gas,0,3000.0
l13,Gas,1,3000.0
l13,Gas,2,3000.0
l13,Gas,3,3000.0
l13,Gas,4,3000.0
l13,Gas,5,3000.0
l13,Gas,6,3000.0
l13,Gas,7,3000.0
l13,Gas,8,3000.0
l13,Gas,9,3000.0
l13,Gas,10,3000.0
l13,Gas,11,3000.0
l13,Gas,12,3000.0
l13,Gas,13,3000.0
l13,Gas,14,3000.0
l13,Gas,15,3000.0
l13,Gas,16,3000.0
l13,Gas,17,3000.0
l13,Gas,18,3000.0
l13,Gas,19,3000.0
l13,Gas,20,3000.0
l13,Gas,21,3000.0
l13,Gas,22,3000.0
l13,Gas,23,3000.0
l13,Gas,24,3000.0
l13,Gas,25,3000.0
l13,Gas,26,3000.0
l13,Gas,27,3000.0
l13,Gas,28,3000.0
l13,Gas,29,3000.0
l13,Gas,30,3000.0
l13,Gas,31,3000.0
l13,Gas,32,3000.0
l13,Gas,33,3000.0
l13,Gas,34,3000.0
l13,Gas,35,3000.0
l13,Gas,36,3000.0
l13,Gas,37,3000.0
l13,Gas,38,3000.0
l13,Gas,39,3000.0
l13,Gas,40,3000.0
l13,Gas,41,3000.0
l13,Gas,42,3000.0
l13,Gas,43,3000.0
l13,Gas,44,3000.0
l13,Gas,45,3000.0
l13,Gas,46,3000.0
l13,Gas,47,3000.0
l13,Gas,48,3000.0
l13,Gas,49,3000.0
l13,Gas,50,3000.0
l13,Gas,51,3000.0
l13,Gas,52,3000.0
l13,Gas,53,3000.0
l13,Gas,54,3000.0
l13,Gas,55,3000.0
l13,Gas,56,3000.0
l13,Gas,57,3000.0
l13,Gas,58,3000.0
l13,Gas,59,3000.0
l13,Gas,60,3000.0
l13,Gas,61,3000.0
l13,Gas,62,3000.0
l13,Gas,63,3000.0
l13,Gas,64,3000.0
l13,Gas,65,3000.0
l13,Gas,66,3000.0
l13,Gas,67,3000.0
l13,Gas,68,3000.0
l13,Gas,69,3000.0
l13,Gas,70,3000.0
l13,Gas,71,3000.0
l13,Gas,72,3000.0
l13,Gas,73,3000.0
l13,Gas,74,3000.0
l13,Gas,75,3000.0
l13,Gas,76,3000.0
l13,Gas,77,3000.0
l13,Gas,78,3000.0
l13,Gas,79,3000.0
l13,Gas,80,3000.0
l13,Gas,81,3000.0
l13,Gas,82,3000.0
l13,Gas,83,3000.0
l13,Gas,84,3000.0
l13,Gas,85,3000.0
l13,Gas,86,3000.0
l13,Gas,87,3000.0
l13,Gas,88,3000.0
l13,Gas,89,3000.0
l13,Gas,90,3000.0
l13,Gas,91,3000.0
l13,Gas,92,3000.0
l13,Gas,93,3000.0
l13,Gas,94,3000.0
l13,Gas,95,3000.0
l13,Gas,96,3000.0
l13,Gas,97,3000.0
l13,Gas,98,3000.0
l13,Gas,99,3000.0
